Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,B365>2.5,B365<2.5
D1,25/01/2020,17:30,Bayern Munich,Schalke 04,5,0,1.28,3.75
D1,26/01/2020,14:30,Werder Bremen,Hoffenheim,0,3,1.53,2.5
D1,26/01/2020,17:00,Leverkusen,Fortuna Dusseldorf,3,0,1.44,2.75
D1,31/01/2020,19:30,Hertha,Schalke 04,0,0,2,1.8
D1,1/02/2020,14:30,Augsburg,Werder Bremen,2,1,1.57,2.37
D1,1/02/2020,14:30,Dortmund,Union Berlin,5,0,1.36,3.2
D1,1/02/2020,14:30,Fortuna Dusseldorf,Ein Frankfurt,1,1,1.61,2.3
D1,1/02/2020,14:30,Hoffenheim,Leverkusen,2,1,1.53,2.5
D1,1/02/2020,14:30,Mainz,Bayern Munich,1,3,1.25,4
D1,1/02/2020,17:30,RB Leipzig,M'gladbach,2,2,1.44,2.75
D1,2/02/2020,14:30,FC Koln,Freiburg,4,0,1.66,2.2
D1,2/02/2020,17:00,Paderborn,Wolfsburg,2,4,1.66,2.2
D1,7/02/2020,19:30,Ein Frankfurt,Augsburg,5,0,1.8,2
D1,8/02/2020,14:30,Freiburg,Hoffenheim,1,0,1.57,2.37
D1,8/02/2020,14:30,Hertha,Mainz,1,3,1.66,2.2
D1,8/02/2020,14:30,Schalke 04,Paderborn,1,1,1.44,2.75
D1,8/02/2020,14:30,Werder Bremen,Union Berlin,0,2,1.72,2.1
D1,8/02/2020,14:30,Wolfsburg,Fortuna Dusseldorf,1,1,1.72,2.1
D1,8/02/2020,17:30,Leverkusen,Dortmund,4,3,1.4,3
D1,9/02/2020,17:00,Bayern Munich,RB Leipzig,0,0,1.28,3.75
D1,14/02/2020,19:30,Dortmund,Ein Frankfurt,4,0,1.36,3.2
D1,15/02/2020,14:30,Augsburg,Freiburg,1,1,1.66,2.2
D1,15/02/2020,14:30,Hoffenheim,Wolfsburg,2,3,1.72,2.1
D1,15/02/2020,14:30,Paderborn,Hertha,1,2,1.72,2.1
D1,15/02/2020,14:30,RB Leipzig,Werder Bremen,3,0,1.33,3.4
D1,15/02/2020,14:30,Union Berlin,Leverkusen,2,3,1.66,2.2
D1,15/02/2020,17:30,Fortuna Dusseldorf,M'gladbach,1,4,1.66,2.2
D1,16/02/2020,14:30,FC Koln,Bayern Munich,1,4,1.28,3.75
D1,16/02/2020,17:00,Mainz,Schalke 04,0,0,1.72,2.1
D1,21/02/2020,19:30,Bayern Munich,Paderborn,3,2,1.12,6
D1,22/02/2020,14:30,Freiburg,Fortuna Dusseldorf,0,2,1.8,2
